assisted_bathing,When one character is [[bathing]] another.
herm_penetrating,"Used for posts depicting a [[herm]] character penetrating another character, regardless of the gender or the body form of the latter.

h4. Tags About Penetration:

* [[penetration]]

[section=Tags About Penetration:]

h4. Form:
[section=Form:]

[section=<Form>_penetrated:]
* [[anthro_penetrated]]
* [[feral_penetrated]]
* [[human_penetrated]]
* [[humanoid_penetrated]]
* [[taur_penetrated]]

[/section]

[section=<Form>_penetrating:]
* [[anthro_penetrating]]
* [[feral_penetrating]]
* [[human_penetrating]]
* [[humanoid_penetrating]]
* [[taur_penetrating]]

[/section]

[section=<Form>_penetrating_<Form>:]
* [[anthro_penetrating_anthro]]
* [[anthro_penetrating_feral]]
* [[anthro_penetrating_human]]
* [[anthro_penetrating_humanoid]]
* [[anthro_penetrating_taur]]
* [[feral_penetrating_anthro]]
* [[feral_penetrating_feral]]
* [[feral_penetrating_human]]
* [[feral_penetrating_humanoid]]
* [[feral_penetrating_taur]]
* [[human_penetrating_anthro]]
* [[human_penetrating_feral]]
* [[human_penetrating_human]]
* [[human_penetrating_humanoid]]
* [[human_penetrating_taur]]
* [[humanoid_penetrating_anthro]]
* [[humanoid_penetrating_feral]]
* [[humanoid_penetrating_human]]
* [[humanoid_penetrating_humanoid]]
* [[humanoid_penetrating_taur]]
* [[taur_penetrating_anthro]]
* [[taur_penetrating_feral]]
* [[taur_penetrating_human]]
* [[taur_penetrating_humanoid]]
* [[taur_penetrating_taur]]

[/section]
[/section]

h4. Gender:
[section=Gender:]

[section=<Gender>_penetrating Tags:]
* [[ambiguous_penetrating]]
* [[female_penetrating]]
* [[intersex_penetrating]]
** [[andromorph_penetrating]]
** [[gynomorph_penetrating]]
** [b]herm_penetrating[/b]
** [[maleherm_penetrating]]
* [[male_penetrating]]

[/section]

[section=<Gender>_penetrated Tags:]
* [[ambiguous_penetrated]]
* [[female_penetrated]]
* [[intersex_penetrated]]
** [[andromorph_penetrated]]
** [[gynomorph_penetrated]]
** [[herm_penetrated]]
** [[maleherm_penetrated]]
* [[male_penetrated]]

[/section]

[section=<Gender>_penetrating_<Gender> Tags:]
[section=ambiguous_penetrating:]
* [[ambiguous_penetrating_ambiguous]]
* [[ambiguous_penetrating_female]]
* [[ambiguous_penetrating_intersex]]
** [[ambiguous_penetrating_andromorph]]
** [[ambiguous_penetrating_gynomorph]]
** [[ambiguous_penetrating_herm]]
** [[ambiguous_penetrating_maleherm]]
* [[ambiguous_penetrating_male]]

[/section]

[section=female_penetrating:]
* [[female_penetrating_ambiguous]]
* [[female_penetrating_female]]
* [[female_penetrating_intersex]]
** [[female_penetrating_andromorph]]
** [[female_penetrating_gynomorph]]
** [[female_penetrating_herm]]
** [[female_penetrating_maleherm]]
* [[female_penetrating_male]]

[/section]

[section=intersex_penetrating:]
* [[intersex_penetrating_ambiguous]]
* [[intersex_penetrating_female]]
* [[intersex_penetrating_intersex]]
** [[intersex_penetrating_andromorph]]
** [[intersex_penetrating_gynomorph]]
** [[intersex_penetrating_herm]]
** [[intersex_penetrating_maleherm]]
* [[intersex_penetrating_male]]

[section=andromorph_penetrating:]
* [[andromorph_penetrating_ambiguous]]
* [[andromorph_penetrating_female]]
* [[andromorph_penetrating_intersex]]
** [[andromorph_penetrating_andromorph]]
** [[andromorph_penetrating_gynomorph]]
** [[andromorph_penetrating_herm]]
** [[andromorph_penetrating_maleherm]]
* [[andromorph_penetrating_male]]

[/section]

[section=gynomorph_penetrating:]
* [[gynomorph_penetrating_ambiguous]]
* [[gynomorph_penetrating_female]]
* [[gynomorph_penetrating_intersex]]
** [[gynomorph_penetrating_andromorph]]
** [[gynomorph_penetrating_gynomorph]]
** [[gynomorph_penetrating_herm]]
** [[gynomorph_penetrating_maleherm]]
* [[gynomorph_penetrating_male]]

[/section]

[section=herm_penetrating:]
* [[herm_penetrating_ambiguous]]
* [[herm_penetrating_female]]
* [[herm_penetrating_intersex]]
** [[herm_penetrating_andromorph]]
** [[herm_penetrating_gynomorph]]
** [[herm_penetrating_herm]]
** [[herm_penetrating_maleherm]]
* [[herm_penetrating_male]]

[/section]

[section=maleherm_penetrating:]
* [[maleherm_penetrating_ambiguous]]
* [[maleherm_penetrating_female]]
* [[maleherm_penetrating_intersex]]
** [[maleherm_penetrating_andromorph]]
** [[maleherm_penetrating_gynomorph]]
** [[maleherm_penetrating_herm]]
** [[maleherm_penetrating_maleherm]]
* [[maleherm_penetrating_male]]

[/section]
[/section]

[section=male_penetrating:]
* [[male_penetrating_ambiguous]]
* [[male_penetrating_female]]
* [[male_penetrating_intersex]]
** [[male_penetrating_andromorph]]
** [[male_penetrating_gynomorph]]
** [[male_penetrating_herm]]
** [[male_penetrating_maleherm]]
* [[male_penetrating_male]]

[/section]
[/section]
[/section]

h4. Object / Orifice penetration:
[section=<Object/Orifice>_penetration:]

[section=<Orifice>_penetration:]
* [[ambiguous_penetration]]
* [[anal_penetration]]
** [[dildo_in_ass]]
** [[double_anal]]
** [[pegging]]
** [[triple_anal]]
* [[arthropod_abdomen_penetration]]
* [[cloacal_penetration]]
** [[dildo_in_cloaca]]
** [[double_cloacal]]
** [[triple_cloacal]]
* [[ear_penetration]]
* [[hair_penetration]]
* [[nasal_penetration]]
* [[navel_penetration]]
* [[nipple_penetration]]
* [[oral_penetration]]
** [[double_oral]]
** [[triple_oral]]
* [[pouch_penetration]]
* [[sheath_penetration]]
* [[slit_penetration]]
* [[unusual_penetration]]
* [[urethral_penetration]]
** [[penis_in_penis]]
* [[vaginal_penetration]]
** [[cervical_penetration]]
** [[dildo_in_pussy]]
** [[double_vaginal]]
** [[triple_vaginal]]

[/section]

[section=<Object>_penetration:]
* [[building_penetration]]
* [[food_penetration]]
* [[sex_toy_penetration]]
** [[dildo_penetration]]
*** [[dildo_in_ass]]
*** [[dildo_in_cloaca]]
*** [[dildo_in_pussy]]
* [[penile_penetration]]
** [[penis_in_penis]]
* [[tentacle_penetration]]
* [[tongue_penetration]]

[/section]
[/section]

h4. Quantity:
[section=<Quantity>_penetration:]
* [[double_penetration]]
** [[double_anal]]
** [[double_cloacal]]
** [[double_oral]]
** [[double_vaginal]]
* [[multi_penetration]]
* [[multiple_insertions]]
* [[multiple_penetration]]
* [[quadruple_penetration]]
* [[quintuple_penetration]]
* [[triple_penetration]]
** [[triple_anal]]
** [[triple_cloacal]]
** [[triple_oral]]
** [[triple_vaginal]]

[/section]

h4. Size / Depth:
[section=Size / Depth:]
* [[balls_deep]]
* [[deep_penetration]]
* [[extreme_penetration]]
* [[huge_penetration]]
* [[large_penetration]]
* [[macro_penetration]]
* [[ridiculous_fit]]
* [[shallow_penetration]]
* [[tight_fit]]

[/section]

h4. Other:
[section=Other:]
* [[bilateral_penetration]]
* [[cum_while_penetrated]]
* [[guided_penetration]]
* [[oral_while_penetrating]]
* [[penetrating_pov]]
* [[receiving_pov]]
* [[suspended_via_penetration]]
* [[trilateral_penetration]]
* [[u-turn_penetration]]

[/section]
[/section]"
chicken_nugget,"A chicken nugget is a food product consisting of a small piece of deboned chicken meat that is breaded or battered, then deep-fried or baked.

Chicken nuggets have become a very popular fast food restaurant item, as well as widely sold frozen for home use.

Not to be confused with the popular web series [[chikn nuggit]] by [[kyrakupetsky]]."
magnetiorchid,"Artist prefers their NSFW & other fetish artwork be tagged under this artist tag, SFW non-fetish artwork should be tagged as [[cathodegaytube]]"
mitzi_(dreamymitzi),A character by the artist DreamyMitzi. Originally created in 2019.
jamila_(gt_evolution),"[b]Jamila[/b] is a super villain goddess in ""PREY The Devil Within'"":https://e621.net/wiki_pages/show_or_new?title=prey_the_devil_within%27 produced by ""GT Evolution"":https://e621.net/wiki_pages/show_or_new?title=gt_evolution. She's probably the worst villain of them all. Jamila is an anthropomorphic jackal with black fur, golden tattoos that goes over her right side torso like a strap bag with The Eyes of Horus sideways next to her belly button, wears golden arm rings, golden leg straps, short tail and doesn't wear any clothes. 

Jamila is a sexually attractive Anubis in Egypt who was abused by her father Jackal when she was younger. When she was gifted with goddess powers from Remana (the demoness goat), she began to misuse it. She ended up commiting parricide and took over her father's throne. Jamila never felt such power and proceed to use it for evil deeds. She is thousands of years old, became a dictator and a ruthless goddess who seeks domination and watch the world burn. She has a son named Abdullah (his father was a slave that Jamila ended killing after mating), which she takes advantage of, even forcefully perform incest ever since he was young for her sick pleasures (Abdullah now 21). Arch enemy towards Tevelski, however Jamila's arch nemesis would have to be ""La Llorona"":https://e621.net/wiki_pages/show_or_new?title=la_llorona_%28gt_evolution%29 who is suprisenly a strong enemy to take on. La Llorona isn't exactly a killable person who is already dead. 
Jamila killed every gods and goddesses in Egypt. Sobek, Sekhmet, Hathor and obtained all of their powers. Any that she kills, she harness the previous wielder and builds up power. Jamila seeks the angelic stone to become even more powerful than a god. However, she stumbles Makaria who was responsible turning Sabrina into ""Hellena"":https://e621.net/wiki_pages/47683. Makaria is a corrupted goddess who wants to eliminate mortals by transforming them into celestial beings. Guarding the angelic stone, Makaria doesn't allow Jamila to obtain such source as she knows she'll be an unstoppable goddess. Jamila isn't the only PREY character that seeks for the Angelic Stone. Her rival Zalina, a clouded leopard from Brunei also wants it for her jewelry collection. She doesn't really care about the power it has. Zalina is already powerful. She just likes how it looks and is determine to get it

Birth and location:
[Unknown birth date] Northern Egypt

Height: 5"" 9' 

Ability: Hyper strength, mind control necromancer (became useless after mind controlling La Llorona for the first time), eternal youth, absorb powers from others when she kills them, water bender, healer (but doesn't have healing factor herself), manipulation, Hellena's powers (for a short amount of time before she was killed by Tevelski)

Arch enemy: Tevelski

Arch nemesis: ""La Llorona"":https://e621.net/wiki_pages/show_or_new?title=la_llorona_%28gt_evolution%29

Rival: Zalina

Relative: Abdullah (son)"
titan_a.e.,"h1. Titan A.E.

A sci-fi movie by Don Bluth.

(A.E. stands for After Earth.)

h3. Characters:

* [[Cale Tucker]]
* [[Akima (Titan A.E.)|Akima]]
* [[Joseph Korso]] (the evil human)
* [[Preed]]
* [[Stith]]
* [[Gune]] (the insane scientist thing)

h3. Creatures/Species:

* [[Drej]] (the energy thingies)
* [[Mantrin]] (such as Stith; fanon?)
* [[Akrennian]] (such as Preed)

h3. See also:
* ""Wikipedia"":http://en.wikipedia.org/wiki/Titan_A.E."
ryan_(river_city_ransom),"[b]Ryan[/b] is one of two playable characters appearing in the first [i][[River City Ransom]][/i] game, and following sequel [i]River City Ransom: Underground[/i]. In the broader [[Kunio-kun]] series, this character goes by the name [[Riki Samejima]].

The other playable character is [[alex_(river_city_ransom)|Alex]] (known as [[Kunio]] in the broader series). The two characters look nearly identical in the original game sprites. For references and cosplays, Alex wears a white t-shirt, and blue pants, and Ryan wears a blue t-shirt, and white pants. Appearances in box art, revamped sprites in the sequel, and port releases reveal additional design characteristics, and outfit changes from the original game. However the trend of Alex having a white theme (white shirt), and Ryan having a blue or dark theme (blue shirt, or blue hair) remains a consistent means of distinguishing the characters.

h4. See also

* [[video_games]]
** [[kunio-kun]]
*** [[river_city_ransom]]"
cumlube,"Personal lubricant that is designed to act and feel like real cum.

h4. See also:

* https://bad-dragon.com/products/cumlube
* https://bad-dragon.com/products/cumlubeclear"
morsyr,"They have a nsfw alias, but have requested to please keep their names separate."
cupid_(lavendoe),"Cupid’s Arrow:
https://www.furaffinity.net/user/lavendoe/
https://www.furaffinity.net/view/55463690/
https://d.furaffinity.net/art/lavendoe/1707385796/1707385796.lavendoe_71c3631e-c5cc-4cfb-91f6-840a5e5e7d2f_jpeg.jpg"
mitzi_(luryry),"[b]Mitzi[/b] is a female musk deer character belonging to ""Luryry"":https://www.furaffinity.net/user/luryry/

h4.External links
* ""Mitzi's reference"":https://www.furaffinity.net/view/43608820/ on Fur Affinity"
princess_(lemondude),“Princess” or “The Princess” OC created by Lemondude
bristol_type_2,"[[Feces]] that fall under type 2 on the Bristol Scale: ""lumpy and sausage-like.""

https://www.verywellhealth.com/bristol-stool-chart-4174964"
gustave_le_grand_(mlp),"""Gustave le Grand"":http://mlp.wikia.com/wiki/Gustave_le_Grand is a male [[griffon]] baker who appears in the episodes [I]MMMystery on the Friendship Express, Equestria Games[/I], and [I]Princess Spike[/I]. He is the second griffon to appear in the series, after [[Gilda_(mlp)|Gilda]]. "
everleigh_darkfang,Deep in the depths of space lies a rift between our dimension and the Aether.
butter-t,Thai artist.
grey_legs,"thumb #3426514

Used when a character's legs are grey in color.

h4. Tags About Legs

[section=Colors]
h4. [[tag_group:colors|Colors]] of Legs

* [[black_legs]]
* [[blue_legs]]
* [[brown_legs]]
* [[cream_legs]]
* [[green_legs]]
* [b]grey_legs[/b]
* [[orange_legs]]
* [[pink_legs]]
* [[purple_legs]]
* [[red_legs]]
* [[tan_legs]]
* [[teal_legs]]
* [[white_legs]]

* [[monotone_legs]]
* [[multicolored_legs]]
** [[two_tone_legs]]

* [[dark_legs]]
* [[light_legs]]

[/section]"
mihari,"A female [[cheetah]] character belonging to the user known as Yuki Anno.

http://www.furaffinity.net/user/mihari

thumb #689601 thumb #514521"
gerusyu,"つぶやきモンスター！！
主にデジモンお絵描きするモン。
かっこいいのとかかわいいのとかたまにちょっとスケベなのを描くから気を付けろ!!
"
war_crime,"The act of committing crimes that violate wartime laws or the Geneva Convention. Intentionally killing civilians, unlawful experimentation, rape of non combatants, child soldiers, taking hostages and pillaging are some examples.

Only apply this tag if there is both a war context and said action."
czech_republic,"[b][i]The Czech Republic[/i][/b], also known as [b]Czechia[/b], is a landlocked country in Central Europe. Historically known as [b]Bohemia[/b], it is bordered by Austria to the south, Germany to the west, Poland to the northeast, and Slovakia to the southeast. The Czech Republic has a hilly landscape that covers an area of 78,871 square kilometers (30,452 sq mi) with a mostly temperate continental and oceanic climate. The capital and largest city is Prague; other major cities and urban areas include Brno, Ostrava, Plzeň and Liberec.

Use this tag if an image or video references the Czech Republic."
susie_(reathe),"Susie is a character of Reathe. She is a very thicc shortstack squirrel with a huge obsession with inflation. She is also in a relationship with Reathe. Other forms are sunflower, inkling, and pikachu libre"
worship_request,For when some character is asking or inviting another to worship some part of them.
trainer_aliyah,"OC pokemon trainer from Pixelvally
https://www.furaffinity.net/user/pixelvally/"
jumba_jookiba,"thumb #1473865 thumb #1812214 thumb #1241681

[b]Dr. Jumba Jookiba[/b] is a [[4 eyes|four-eyed]], [[purple skin|purple-skinned]], [[obese]], [[alien]] [[mad scientist]] from the [i][[Lilo and Stitch|Lilo & Stitch]][/i] franchise. He is the creator of [[Stitch (Lilo and Stitch)|Stitch]] and the other 628 genetic [[experiment (Lilo and Stitch)|experiments]]. He loves doing ""evil"" things, such as making new illegal genetic experiments, but he's not exactly an evil person. In the time of the franchise after the first film, he plays the role of [[Lilo Pelekai|Lilo]] and [[Nani Pelekai]]'s ""uncle"" in their 'ohana (family) on [[Earth]]. His best friend is [[Wendy Pleakley|Pleakley]], who he was originally forcibly partnered with in capturing Experiment 626 (Stitch). His former partner-in-crime is [[Dr. Hämsterviel|Dr. Jacques von Hämsterviel]], who funded the creation of the experiments. Jumba's species is called ""[[Kweltikwan]]"", which is also one of two spellings for the name of his home planet (the other spelling being ""Quelte Quan"")."
bachi,"https://en.wikipedia.org/wiki/Bachi


Bachi (桴, 枹) (also batchi) is the name for the straight, wooden sticks used to play Japanese taiko drums, and also (written 撥) the plectrum for stringed instruments such as the shamisen and biwa.

Bachi used for stringed instruments are actually picks. They are very distinct in form and use from Western-style picks, which are usually smaller in order to be held between or mounted to fingers. In shape, bachi are similar to an ice scraper or a putty knife.

"
